# name,mass,radius,orbital_period,temp_calculated,temp_measured,molecules,star_distance
HD 187123 c,1.99,,3810,,,,50
HD 18742 b,2.7,,772,,,,135
HD 188015 b,1.26,,456.46,,,,52.6
HD 189567 b,0.0316,,14.275,,,,17.7
HD 189733 b,1.138,1.138,2.21857312,,,"H2O, CH4, CO, Na, H, H, H2O, Na, O I, C, O I, CO, H2O",19.3
HD 190360 b,1.495,,2867.9,,,,15.89
HD 190360 c,0.06381,,17.1186,,,,15.89
HD 190647 b,1.9,,1038.1,,,,54.2
HD 190984 b,3.1,,4885,,,,103
HD 192263 b,0.733,,24.3587,,,,19.9
HD 192310 c,0.076,,525.8,185,,,8.82
HD 192699 b,2.5,,351.5,,,,67
HD 19467 b,52,,,,978,,30.86
HD 195019 b,3.7,,18.20163,,,,37.36
HD 196050 b,2.83,,1316.24,,,,46.9
HD 196067 b,6.9,,3638,,,,44.3
HD 196885 A b,2.98,,1326,,,,33
HD 197037 b,0.79,,1035.7,,,,33
HD 19994 b,1.68,,535.7,,,,22.38
HD 20003 b,0.0378,,11.849,,,,43.8
HD 20003 c,0.0422,,33.823,,,,43.8
HD 200964 b,1.85,,613.8,,,,68.4
HD 200964 c,0.895,,825,,,,68.4
HD 202206 b,17.4,,255.87,,,,46.34
HD 202206 c,2.44,,1383.4,,,,46.34
HD 20367 b,1.07,,500,,,,27
HD 2039 b,6.11,,1120,,,,89.8
HD 204313 b,4.28,,2024.1,,,,47.37
HD 204313 c,0.0553,,34.905,,,,47.37
HD 204313 d,1.68,,2831.6,,,,47.37
HD 204941 b,0.266,,1733,,,,27
HD 205739 b,1.37,,279.8,,,,90.3
HD 206610 b,2.2,,610,,,,194
HD 20781 b,0.0379,,29.15,,,,35.4
HD 20781 c,0.0496,,85.131,,,,35.4
HD 20782 b,1.9,,591.9,,,,36.02
HD 207832 b,0.56,,161.97,,,,54.4
HD 207832 c,0.73,,1155.7,,,,54.4
HD 20794 b,0.0085,,18.315,,,,6.06
HD 20794 c,0.0076,,40.114,,,,6.06
HD 20794 d,0.015,,90.309,,,,6.06
HD 208487 b,0.413,,129.8,,,,45
HD 208527 b,9.9,,875.5,,,,320.2
HD 20868 b,1.99,,380.85,,,,48.9
HD 209458 b,0.69,1.38,3.52472,,,"H2O, H, Na, TiO, VO, H, Mg, Mg, O I, C, CH4, CO, CO2, H, HCN, H2O, Na, TiO, VO, O2, H2, K, Mg, C, O I",47
HD 210277 b,1.23,,442.1,,,,21.29
HD 210702 b,1.9,,354.8,,,,56
HD 211847 b,19.2,,7930,,,,50.6
HD 212301 b,0.4,1.07,2.245715,,,,52.7
HD 212771 b,2.3,,373.3,,,,131
HD 213240 b,4.5,,951,,,,40.75
HD 215152 b,0.0087,,7.2825,,,,21.5
HD 215152 c,0.0097,,10.866,,,,21.5
HD 215456 b,0.101,,191.99,,,,38
HD 215456 c,0.246,,2277,,,,38
HD 215497 b,0.02,,3.93404,,,,44
HD 215497 c,0.33,,567.94,,,,44
HD 216435 b,1.26,,1311,,,,33.3
HD 216437 b,1.82,,1256,,,,26.5
HD 216536 b,1.47,,148.6,,,,
HD 216770 b,0.65,,118.45,,,,38
HD 21693 b,0.0322,,22.656,,,,32.4
HD 21693 c,0.06472,,53.881,,,,32.4
HD 217107 b,1.33,,7.12689,,,,19.72
HD 217107 c,2.49,,4210,,,,19.72
HD 217786 b,13,,1319,,,,54.8
HD 218566 b,0.21,,225.7,,,,29.94
HD 219077 b,10.39,,5501,,,,29.35
HD 219134 b,0.012,0.1433,3.0931,,,,6.55
HD 219134 c,0.011,,6.7635,,,,6.55
HD 219134 d,0.067,,46.71,,,,6.55
HD 219134 e,0.0117,,1842,,,,6.55
HD 219134 f,0.028,,22.805,,,,6.55
HD 219134 g,0.034,,94.2,,,,6.55
HD 219134 h,0.34,,2247,,,,6.55
HD 219415 b,1,,2093.3,,,,
HD 219828 b,0.085,,3.8335,,,,81.1
HD 220074 b,11.1,,672.1,,,,290.2
HD 220689 b,1.06,,2209,,,,44.6
HD 220773 b,1.45,,3724.7,,,,49
HD 221287 b,3.09,,456.1,,,,52.9
HD 222155 b,1.9,,3999,,,,49.1
HD 222582 b,7.75,,572.38,,,,42
HD 224693 b,0.71,,26.73,,,,94
HD 22781 b,13.65,,528.07,,,,31.79
HD 23079 b,2.5,,626,,,,34.8
HD 23127 b,1.5,,1214,,,,89.1
HD 231701 b,1.08,,141.6,,,,108.4
HD 233604 b,6.575,,192,,,,
HD 23596 b,8.1,,1565,,,,52
HD 240210 b,6.9,,501.75,,,,143
HD 240237 b,5.3,,745.7,,,,1500
HD 24040 b,4.01,,3668,,,,46.51
HD 24064 b,9.4,,555.6,,,,264.4
HD 25171 b,0.95,,1845,,,,55
HD 2638 b,0.48,1.04,3.43752,,,,53.71
HD 27442 b,1.35,,415.2,,,,18.1
HD 27631 b,1.45,,2208,,,,45.5
HD 27894 b,0.62,,17.991,,,,42.37
HD 28185 b,5.7,,383,,,,39.4
HD 28254 b,1.16,,1116,,,,56.2
HD 284149 b,32,,,,2537,,108.2
HD 285507 b,0.917,,6.0881,,,,41.3
HD 28678 b,1.7,,387.1,,,,227
HD 290327 b,2.54,,2443,,,,54.9
HD 2952 b,1.6,,311.6,,,,115.2
HD 30177 b,10.45,,2770,,,,55
HD 30562 b,1.29,,1157,,,,26.5
HD 30669 b,0.47,,1684,,,,57
HD 30856 b,1.8,,912,,,,118.1
HD 31253 b,0.5,,466,,,,53.82
HD 31527 b,0.0363,,16.546,,,,38.6
HD 31527 c,0.0498,,51.284,,,,38.6
HD 31527 d,0.0519,,274.49,,,,38.6
HD 32518 b,3.04,,157.54,,,,117.4
HD 32963 b,0.7,,2372,,,,
HD 330075 b,0.62,1.06,3.6413,,,,50.2
HD 33142 b,1.3,,326.6,,,,126
HD 33283 b,0.33,0.99,18.1801,,,,86
HD 33564 b,9.1,,388,,,,20.98
HD 33844 b,1.96,,551.4,,,,100.9
HD 33844 c,1.75,,916,,,,100.9
HD 34445 b,0.79,,1049,,,,46.5
HD 3651 b,0.2,,62.23,,,,11
HD 3651 c,0.09,,31,,,,11
HD 37124 b,0.675,,154.378,,,,33
HD 37124 c,0.652,,885.5,,,,33
